Persona,Age,Gender,Nationality,Emirate,Income,Shopping_Frequency,Shopping_Channel,Avg_Spend_Bucket,Recent_Luxury_Purchase,Luxury_View,Social_Perception,Motivation,Trade_Off,Discount_Sensitivity,Scenario_Behavior,Categories,Ethnic_Preference,Color_Preference,Kitchenware_Type,Bundle_Preference,Discovery_Channel,Influencer_Impact,Risk_Concern,Max_Spend,Interest_Level,Will_Buy
Affluent Expat,21-30,Male,Other,Other,25K-50K,Weekly,Online,500-1500,Yes,Reward,Low,Price,Design,20-40%,Luxury Brand,Home Decor,Fusion,Bold,Non-stick,No,Influencers,Medium,Social,4093,Not Interested,Yes
Luxury Emirati,21-30,Male,South Asian,Dubai,>50K,Occasional,Mall,1500-5000,No,Necessity,Medium,Price,Design,No discount needed,Wait Discount,Kitchenware,Abaya,Bold,Non-stick,No,Instagram,None,Price,37404,Very Interested,Yes
Budget Buyer,Under21,Female,Other,Dubai,<5K,Weekly,Online,500-1500,No,Not important,Medium,Social Media,Design,40%+,Not Buy,Luxury Fashion,Saree,Bold,Designer,No,YouTube,High,Price,1147,Neutral,No
Luxury Emirati,41-50,Male,South Asian,Sharjah,25K-50K,Rarely,Boutique,<500,No,Necessity,Low,Social Media,Brand,No discount needed,Not Buy,Home Decor,Abaya,Dark,NA,Maybe,Mall,High,Price,49773,Very Interested,Yes
Value Expat,51+,Female,Arab,Dubai,10K-25K,Rarely,Online,5000-15000,Yes,Occasional,High,Social Media,Brand,40%+,Wait Discount,Kitchenware,NA,Pastel,Designer,Maybe,Instagram,Medium,Trust,7088,Very Interested,Yes
Affluent Expat,21-30,Male,South Asian,Other,10K-25K,Weekly,Online,>15000,Yes,Reward,Low,Price,Brand,10-20%,Not Buy,Accessories,NA,Pastel,Designer,No,Influencers,Medium,Price,5737,Interested,Yes
Value Expat,Under21,Male,Arab,Dubai,5K-10K,Monthly,Mall,500-1500,Yes,Occasional,Low,Design,Design,40%+,Not Buy,Kitchenware,Abaya,Neutral,Designer,Yes,Mall,None,Trust,3922,Neutral,No
Value Expat,51+,Female,Emirati,Other,10K-25K,Occasional,Online,<500,Yes,Occasional,Medium,Status,Design,20-40%,Luxury Brand,Kitchenware,Abaya,Neutral,Cast Iron,No,YouTube,Medium,Price,4914,Interested,Yes
Budget Buyer,41-50,Female,Western,Dubai,<5K,Occasional,Online,>15000,No,Not important,Medium,Design,Brand,40%+,Not Buy,Accessories,Saree,Dark,Cast Iron,Yes,Influencers,Low,Price,2023,Neutral,No
Affluent Expat,31-40,Female,Emirati,Other,25K-50K,Monthly,Boutique,500-1500,Yes,Reward,Low,Design,Brand,10-20%,Wait Discount,Accessories,Saree,Bold,Cast Iron,Maybe,Influencers,Medium,None,7313,Not Interested,Yes
Luxury Emirati,51+,Male,South Asian,Dubai,>50K,Rarely,Mall,500-1500,Yes,Necessity,Medium,Price,Brand,No discount needed,Niche Brand,Home Decor,Fusion,Pastel,Non-stick,No,TikTok,High,Social,49010,Neutral,Yes
Luxury Emirati,51+,Male,Western,Other,>50K,Occasional,Online,500-1500,Yes,Necessity,Medium,Quality,Design,No discount needed,Niche Brand,Luxury Fashion,Fusion,Neutral,Steel,Yes,Mall,Medium,Quality,10047,Very Interested,Yes
Budget Buyer,41-50,Male,Emirati,Abu Dhabi,<5K,Weekly,Online,<500,No,Not important,Medium,Status,Brand,40%+,Niche Brand,Luxury Fashion,NA,Pastel,Cast Iron,Maybe,YouTube,Medium,Trust,2723,Neutral,No
Budget Buyer,21-30,Male,Arab,Sharjah,<5K,Rarely,Mixed,<500,Yes,Not important,Medium,Quality,Design,40%+,Niche Brand,Kitchenware,Fusion,Neutral,Cast Iron,Maybe,TikTok,High,Social,1541,Not Interested,No
Value Expat,Under21,Male,Western,Dubai,5K-10K,Occasional,Mall,5000-15000,No,Occasional,Medium,Quality,Brand,20-40%,Niche Brand,Kitchenware,Saree,Bold,Steel,Maybe,TikTok,Medium,Social,7540,Neutral,No
Value Expat,21-30,Female,South Asian,Other,5K-10K,Occasional,Online,1500-5000,Yes,Occasional,Medium,Design,Design,20-40%,Wait Discount,Luxury Fashion,Fusion,Dark,Designer,No,YouTube,Medium,None,3946,Neutral,No
Value Expat,31-40,Female,Western,Other,5K-10K,Occasional,Online,500-1500,Yes,Occasional,Low,Design,Design,20-40%,Wait Discount,Kitchenware,Abaya,Neutral,Non-stick,Yes,Influencers,None,Quality,1102,Not Interested,Yes
Luxury Emirati,41-50,Female,Western,Other,>50K,Occasional,Boutique,500-1500,Yes,Necessity,Medium,Quality,Design,No discount needed,Not Buy,Home Decor,Abaya,Dark,NA,Maybe,TikTok,High,None,35987,Very Interested,Yes
Budget Buyer,51+,Male,Arab,Sharjah,<5K,Monthly,Mixed,5000-15000,No,Not important,Medium,Design,Brand,40%+,Niche Brand,Ethnic Wear,Fusion,Neutral,Non-stick,No,Friends,Low,Price,1913,Not Interested,No
Affluent Expat,Under21,Female,Arab,Sharjah,25K-50K,Occasional,Mall,1500-5000,Yes,Reward,High,Design,Brand,10-20%,Wait Discount,Kitchenware,Fusion,Neutral,Non-stick,Yes,YouTube,Medium,Trust,13555,Not Interested,No
Affluent Expat,51+,Male,Western,Abu Dhabi,25K-50K,Weekly,Boutique,<500,Yes,Reward,Medium,Social Media,Brand,20-40%,Luxury Brand,Ethnic Wear,NA,Bold,Non-stick,Yes,YouTube,High,Trust,5103,Interested,Yes
Value Expat,31-40,Male,Other,Other,10K-25K,Monthly,Mall,>15000,Yes,Occasional,Low,Status,Brand,20-40%,Niche Brand,Ethnic Wear,Abaya,Bold,NA,No,Instagram,Low,Social,7073,Not Interested,Yes
Luxury Emirati,Under21,Female,South Asian,Dubai,>50K,Monthly,Online,5000-15000,Yes,Necessity,Low,Quality,Design,No discount needed,Wait Discount,Ethnic Wear,Saree,Bold,NA,No,Friends,Medium,Trust,39068,Not Interested,Yes
Luxury Emirati,Under21,Female,South Asian,Sharjah,>50K,Weekly,Online,1500-5000,Yes,Necessity,Medium,Status,Brand,No discount needed,Not Buy,Luxury Fashion,Fusion,Neutral,Steel,Yes,Mall,None,Social,34197,Very Interested,Yes
Value Expat,41-50,Female,Arab,Dubai,10K-25K,Monthly,Boutique,500-1500,Yes,Occasional,Low,Quality,Brand,20-40%,Luxury Brand,Kitchenware,Saree,Pastel,Non-stick,No,Mall,None,None,4201,Neutral,No
Luxury Emirati,41-50,Female,Western,Other,>50K,Weekly,Boutique,>15000,Yes,Necessity,Medium,Quality,Design,No discount needed,Niche Brand,Home Decor,Fusion,Dark,Non-stick,No,Influencers,Medium,Trust,8168,Very Interested,Yes
Value Expat,21-30,Male,South Asian,Abu Dhabi,5K-10K,Occasional,Boutique,5000-15000,Yes,Occasional,Low,Design,Design,40%+,Not Buy,Luxury Fashion,NA,Dark,Steel,Yes,TikTok,None,Price,4972,Neutral,No
Affluent Expat,51+,Female,Emirati,Sharjah,25K-50K,Rarely,Mall,500-1500,No,Reward,High,Social Media,Brand,20-40%,Niche Brand,Ethnic Wear,NA,Pastel,Non-stick,Yes,Instagram,None,Price,6616,Neutral,No
Affluent Expat,51+,Female,South Asian,Other,25K-50K,Monthly,Mixed,>15000,Yes,Reward,Low,Price,Brand,20-40%,Niche Brand,Kitchenware,Saree,Dark,NA,Yes,Influencers,Low,Social,11148,Very Interested,Yes
Affluent Expat,Under21,Male,South Asian,Other,10K-25K,Rarely,Mall,<500,No,Reward,Medium,Price,Design,20-40%,Not Buy,Home Decor,Saree,Dark,Cast Iron,Maybe,Influencers,Low,Quality,5261,Interested,Yes
Affluent Expat,Under21,Female,South Asian,Abu Dhabi,25K-50K,Rarely,Mall,<500,Yes,Reward,Medium,Quality,Design,20-40%,Wait Discount,Home Decor,NA,Dark,Non-stick,No,Influencers,None,None,4154,Not Interested,No
Value Expat,21-30,Male,Western,Dubai,10K-25K,Occasional,Online,<500,Yes,Occasional,Medium,Quality,Design,40%+,Niche Brand,Home Decor,Saree,Pastel,Designer,No,Instagram,Low,Trust,7899,Neutral,No
Affluent Expat,41-50,Male,Emirati,Dubai,10K-25K,Monthly,Mixed,5000-15000,No,Reward,Low,Status,Brand,20-40%,Luxury Brand,Luxury Fashion,Abaya,Dark,Designer,Yes,Influencers,Low,None,6320,Interested,No
Value Expat,Under21,Male,Other,Dubai,5K-10K,Occasional,Mixed,500-1500,Yes,Occasional,Medium,Social Media,Design,20-40%,Luxury Brand,Home Decor,Fusion,Neutral,NA,No,Influencers,Low,Price,1208,Very Interested,Yes
Value Expat,31-40,Female,Arab,Other,5K-10K,Rarely,Boutique,5000-15000,No,Occasional,Low,Status,Design,20-40%,Not Buy,Accessories,NA,Dark,Non-stick,Yes,Instagram,None,Social,7121,Neutral,No
Value Expat,21-30,Female,Emirati,Abu Dhabi,10K-25K,Occasional,Mixed,500-1500,Yes,Occasional,High,Social Media,Brand,40%+,Niche Brand,Kitchenware,Abaya,Neutral,Designer,Maybe,YouTube,High,None,3705,Very Interested,Yes
Budget Buyer,51+,Female,Emirati,Dubai,<5K,Occasional,Online,5000-15000,Yes,Not important,High,Price,Design,40%+,Niche Brand,Accessories,Abaya,Dark,Non-stick,Yes,TikTok,Medium,Trust,1267,Very Interested,No
Value Expat,41-50,Male,Other,Sharjah,10K-25K,Occasional,Online,1500-5000,No,Occasional,High,Quality,Brand,20-40%,Wait Discount,Accessories,Abaya,Neutral,Cast Iron,No,Mall,None,Trust,2592,Not Interested,Yes
Affluent Expat,31-40,Female,Emirati,Other,25K-50K,Rarely,Mall,5000-15000,Yes,Reward,Low,Social Media,Design,10-20%,Luxury Brand,Luxury Fashion,Abaya,Bold,Steel,Maybe,Mall,Medium,Trust,4737,Interested,No
Luxury Emirati,31-40,Female,Other,Sharjah,>50K,Occasional,Mixed,>15000,Yes,Necessity,Medium,Price,Brand,No discount needed,Wait Discount,Home Decor,NA,Pastel,Cast Iron,Yes,Instagram,None,Trust,35345,Very Interested,Yes
Affluent Expat,41-50,Female,South Asian,Abu Dhabi,25K-50K,Occasional,Boutique,<500,No,Reward,Low,Status,Design,20-40%,Luxury Brand,Home Decor,Abaya,Bold,Cast Iron,Yes,Instagram,None,Quality,18640,Interested,Yes
Value Expat,41-50,Male,Western,Sharjah,5K-10K,Monthly,Mall,1500-5000,Yes,Occasional,Medium,Status,Brand,20-40%,Luxury Brand,Kitchenware,Saree,Dark,Steel,Maybe,Mall,None,Price,7430,Neutral,Yes
Luxury Emirati,51+,Female,Emirati,Abu Dhabi,>50K,Weekly,Mall,5000-15000,Yes,Necessity,Low,Design,Brand,No discount needed,Luxury Brand,Home Decor,Saree,Bold,Designer,No,Influencers,Low,None,13339,Neutral,Yes
Value Expat,51+,Male,Other,Abu Dhabi,10K-25K,Monthly,Boutique,<500,No,Occasional,Medium,Price,Design,40%+,Not Buy,Accessories,Abaya,Bold,Cast Iron,No,TikTok,None,Quality,5354,Not Interested,No
Value Expat,51+,Female,Emirati,Dubai,10K-25K,Occasional,Online,5000-15000,Yes,Occasional,Low,Status,Brand,20-40%,Niche Brand,Luxury Fashion,Saree,Bold,Designer,No,Influencers,None,Price,2702,Not Interested,No
Affluent Expat,31-40,Male,Emirati,Other,25K-50K,Monthly,Boutique,5000-15000,No,Reward,High,Social Media,Design,20-40%,Niche Brand,Kitchenware,Abaya,Pastel,Non-stick,Maybe,Influencers,High,Quality,16211,Neutral,Yes
Value Expat,41-50,Female,South Asian,Other,10K-25K,Rarely,Mixed,1500-5000,Yes,Occasional,Medium,Design,Brand,20-40%,Luxury Brand,Kitchenware,Abaya,Bold,Cast Iron,No,Mall,High,Quality,7625,Neutral,No
Luxury Emirati,Under21,Male,South Asian,Dubai,25K-50K,Weekly,Online,1500-5000,Yes,Necessity,Medium,Design,Design,No discount needed,Wait Discount,Kitchenware,NA,Neutral,Designer,Maybe,YouTube,None,Quality,28997,Very Interested,Yes
Luxury Emirati,51+,Female,Western,Dubai,>50K,Occasional,Mixed,>15000,Yes,Necessity,Medium,Design,Design,No discount needed,Niche Brand,Accessories,Saree,Neutral,Steel,No,Instagram,None,Trust,21901,Not Interested,Yes
Value Expat,41-50,Female,Emirati,Other,10K-25K,Monthly,Online,1500-5000,Yes,Occasional,High,Status,Brand,20-40%,Not Buy,Home Decor,Abaya,Neutral,Non-stick,Yes,YouTube,High,Price,2004,Not Interested,No
Value Expat,31-40,Female,Arab,Dubai,10K-25K,Occasional,Mall,5000-15000,Yes,Occasional,Low,Design,Design,20-40%,Not Buy,Kitchenware,Saree,Neutral,Cast Iron,No,Instagram,Medium,Quality,7358,Neutral,No
Value Expat,21-30,Female,South Asian,Sharjah,10K-25K,Weekly,Mixed,1500-5000,Yes,Occasional,High,Status,Design,40%+,Not Buy,Luxury Fashion,Fusion,Dark,Steel,No,TikTok,High,Price,4147,Not Interested,Yes
Affluent Expat,41-50,Female,South Asian,Sharjah,10K-25K,Occasional,Online,5000-15000,No,Reward,Medium,Social Media,Brand,20-40%,Luxury Brand,Accessories,Saree,Bold,Designer,Yes,Instagram,Medium,Quality,10405,Interested,No
Affluent Expat,Under21,Female,Other,Sharjah,25K-50K,Weekly,Mixed,<500,Yes,Reward,Medium,Price,Design,20-40%,Not Buy,Home Decor,Fusion,Neutral,Non-stick,Maybe,Mall,None,Trust,4186,Very Interested,Yes
Budget Buyer,51+,Female,South Asian,Other,<5K,Occasional,Mall,1500-5000,Yes,Not important,High,Design,Design,40%+,Niche Brand,Kitchenware,Fusion,Bold,Non-stick,No,TikTok,High,Quality,809,Interested,No
Value Expat,41-50,Male,Other,Abu Dhabi,10K-25K,Rarely,Mixed,<500,Yes,Occasional,Low,Price,Design,20-40%,Wait Discount,Luxury Fashion,Fusion,Bold,Non-stick,Yes,YouTube,Low,Quality,7741,Neutral,Yes
Value Expat,Under21,Male,South Asian,Abu Dhabi,10K-25K,Rarely,Mall,>15000,Yes,Occasional,Low,Design,Brand,20-40%,Not Buy,Luxury Fashion,NA,Pastel,Designer,No,Friends,Low,Quality,4121,Very Interested,Yes
Affluent Expat,31-40,Male,Emirati,Sharjah,25K-50K,Weekly,Online,1500-5000,Yes,Reward,Medium,Price,Brand,20-40%,Luxury Brand,Home Decor,Saree,Dark,Designer,Yes,Instagram,High,None,5570,Neutral,No
Value Expat,21-30,Male,Arab,Other,5K-10K,Weekly,Online,5000-15000,Yes,Occasional,Low,Status,Brand,40%+,Niche Brand,Home Decor,Fusion,Dark,NA,No,YouTube,Low,Social,5212,Neutral,Yes
Affluent Expat,Under21,Male,Western,Dubai,25K-50K,Rarely,Mall,500-1500,Yes,Reward,Low,Social Media,Brand,10-20%,Not Buy,Accessories,Saree,Bold,Cast Iron,Maybe,Friends,None,Quality,11674,Neutral,Yes
Luxury Emirati,31-40,Male,Western,Abu Dhabi,>50K,Monthly,Mixed,>15000,Yes,Necessity,High,Social Media,Design,No discount needed,Luxury Brand,Ethnic Wear,NA,Dark,NA,Maybe,Friends,Low,Quality,33720,Not Interested,Yes
Budget Buyer,Under21,Female,South Asian,Dubai,<5K,Weekly,Mall,<500,No,Not important,Medium,Design,Design,40%+,Niche Brand,Accessories,Abaya,Bold,Designer,No,Instagram,High,Trust,2142,Neutral,No
Luxury Emirati,31-40,Female,Emirati,Sharjah,25K-50K,Rarely,Mall,1500-5000,No,Necessity,High,Social Media,Brand,No discount needed,Wait Discount,Accessories,NA,Pastel,NA,No,Influencers,Medium,Social,47093,Neutral,Yes
Budget Buyer,41-50,Female,Arab,Other,<5K,Weekly,Mall,<500,No,Not important,Medium,Price,Design,40%+,Luxury Brand,Ethnic Wear,NA,Bold,Steel,No,Mall,Low,None,1365,Interested,No
Affluent Expat,41-50,Female,Other,Dubai,10K-25K,Monthly,Mall,5000-15000,Yes,Reward,Medium,Design,Brand,20-40%,Not Buy,Kitchenware,Fusion,Neutral,NA,Maybe,Mall,High,Trust,3885,Neutral,Yes
Affluent Expat,51+,Female,Western,Other,25K-50K,Weekly,Online,>15000,Yes,Reward,Low,Status,Brand,20-40%,Not Buy,Ethnic Wear,NA,Bold,Cast Iron,Yes,TikTok,Low,None,7087,Very Interested,No
Value Expat,Under21,Female,Arab,Other,10K-25K,Occasional,Boutique,1500-5000,Yes,Occasional,Low,Social Media,Brand,40%+,Not Buy,Kitchenware,NA,Bold,Designer,Yes,Mall,Low,Quality,1884,Not Interested,Yes
Budget Buyer,51+,Female,Emirati,Sharjah,<5K,Weekly,Online,1500-5000,No,Not important,Medium,Price,Brand,40%+,Luxury Brand,Home Decor,Saree,Dark,NA,No,Mall,None,Quality,2044,Neutral,No
Value Expat,21-30,Male,South Asian,Abu Dhabi,10K-25K,Rarely,Boutique,1500-5000,No,Occasional,High,Social Media,Brand,20-40%,Not Buy,Ethnic Wear,Fusion,Neutral,Designer,Yes,TikTok,High,Price,3544,Very Interested,No
Budget Buyer,Under21,Male,Western,Sharjah,<5K,Monthly,Online,>15000,Yes,Not important,High,Quality,Design,40%+,Not Buy,Accessories,Saree,Neutral,Designer,Yes,Friends,High,Quality,2865,Very Interested,No
Value Expat,21-30,Female,Western,Abu Dhabi,10K-25K,Rarely,Mixed,>15000,No,Occasional,Medium,Social Media,Design,40%+,Luxury Brand,Luxury Fashion,Abaya,Pastel,Steel,Yes,Mall,Medium,None,7199,Very Interested,Yes
Value Expat,41-50,Male,Arab,Dubai,5K-10K,Rarely,Online,5000-15000,Yes,Occasional,High,Status,Brand,20-40%,Not Buy,Home Decor,Saree,Neutral,Designer,Yes,Influencers,Low,Quality,3214,Interested,No
Budget Buyer,31-40,Female,Emirati,Sharjah,<5K,Occasional,Boutique,>15000,Yes,Not important,Low,Price,Design,40%+,Not Buy,Kitchenware,Fusion,Dark,Steel,Yes,Instagram,None,Social,723,Interested,No
Affluent Expat,31-40,Female,Arab,Other,25K-50K,Rarely,Boutique,500-1500,Yes,Reward,Low,Status,Brand,10-20%,Wait Discount,Kitchenware,Abaya,Bold,Designer,Maybe,Mall,High,None,6468,Not Interested,Yes
Value Expat,Under21,Male,Other,Sharjah,10K-25K,Weekly,Mall,5000-15000,Yes,Occasional,Low,Status,Brand,40%+,Not Buy,Luxury Fashion,NA,Bold,NA,Maybe,YouTube,High,Trust,1867,Very Interested,No
Affluent Expat,41-50,Female,Arab,Sharjah,10K-25K,Weekly,Mixed,1500-5000,No,Reward,High,Price,Brand,20-40%,Niche Brand,Home Decor,Fusion,Dark,NA,Yes,Friends,Medium,Trust,4654,Very Interested,Yes
Budget Buyer,21-30,Male,Arab,Sharjah,<5K,Occasional,Mall,1500-5000,Yes,Not important,Low,Status,Brand,40%+,Wait Discount,Ethnic Wear,Fusion,Pastel,Steel,No,Friends,Medium,Price,2809,Not Interested,No
Budget Buyer,51+,Female,Other,Dubai,<5K,Rarely,Online,>15000,No,Not important,High,Design,Design,40%+,Not Buy,Home Decor,Saree,Pastel,Steel,No,Friends,Low,None,1458,Interested,No
Luxury Emirati,31-40,Male,Western,Other,>50K,Occasional,Online,1500-5000,Yes,Necessity,Medium,Quality,Brand,No discount needed,Niche Brand,Ethnic Wear,NA,Bold,NA,No,YouTube,Medium,Quality,18485,Neutral,Yes
Value Expat,31-40,Female,Emirati,Dubai,10K-25K,Weekly,Online,>15000,No,Occasional,Medium,Status,Design,20-40%,Wait Discount,Accessories,NA,Pastel,Non-stick,No,Influencers,None,Social,3082,Neutral,No
Budget Buyer,21-30,Male,Emirati,Abu Dhabi,<5K,Monthly,Mall,500-1500,No,Not important,Low,Quality,Brand,40%+,Niche Brand,Luxury Fashion,Fusion,Bold,Steel,Yes,Mall,Medium,Quality,2765,Very Interested,No
Affluent Expat,51+,Female,Arab,Dubai,25K-50K,Weekly,Online,<500,No,Reward,Low,Price,Design,10-20%,Not Buy,Home Decor,Abaya,Bold,NA,Maybe,Instagram,Medium,Quality,18193,Neutral,Yes
Value Expat,21-30,Male,South Asian,Abu Dhabi,5K-10K,Weekly,Online,<500,No,Occasional,Low,Status,Brand,40%+,Niche Brand,Kitchenware,Abaya,Pastel,Designer,No,YouTube,High,Social,2802,Not Interested,No
Budget Buyer,31-40,Male,Other,Abu Dhabi,<5K,Monthly,Boutique,5000-15000,Yes,Not important,Low,Social Media,Design,40%+,Luxury Brand,Kitchenware,Abaya,Bold,NA,Maybe,Mall,High,Quality,225,Very Interested,No
Luxury Emirati,31-40,Male,South Asian,Abu Dhabi,>50K,Weekly,Boutique,<500,No,Necessity,Medium,Price,Design,No discount needed,Luxury Brand,Accessories,Fusion,Dark,Steel,Maybe,TikTok,High,Social,44516,Very Interested,Yes
Value Expat,31-40,Female,South Asian,Dubai,10K-25K,Monthly,Mall,5000-15000,Yes,Occasional,High,Design,Design,20-40%,Niche Brand,Luxury Fashion,Abaya,Bold,Designer,No,YouTube,None,Quality,2267,Neutral,Yes
Affluent Expat,41-50,Male,Emirati,Other,25K-50K,Occasional,Boutique,5000-15000,Yes,Reward,High,Design,Design,20-40%,Wait Discount,Home Decor,Saree,Dark,Cast Iron,Yes,Mall,None,Quality,19809,Very Interested,Yes
Budget Buyer,51+,Female,Arab,Abu Dhabi,<5K,Rarely,Mall,<500,No,Not important,Medium,Social Media,Design,40%+,Not Buy,Home Decor,Fusion,Dark,Cast Iron,Yes,Friends,Medium,Price,1509,Not Interested,No
Budget Buyer,Under21,Male,South Asian,Other,<5K,Monthly,Boutique,5000-15000,No,Not important,Medium,Status,Brand,40%+,Luxury Brand,Home Decor,Saree,Pastel,Non-stick,No,TikTok,None,Quality,1368,Not Interested,No
Budget Buyer,31-40,Male,Other,Dubai,<5K,Weekly,Mixed,>15000,Yes,Not important,Medium,Price,Design,40%+,Luxury Brand,Kitchenware,NA,Pastel,Cast Iron,Yes,YouTube,Medium,Trust,1298,Interested,No
Value Expat,31-40,Male,Western,Dubai,10K-25K,Monthly,Online,5000-15000,Yes,Occasional,Medium,Status,Brand,40%+,Niche Brand,Accessories,Abaya,Neutral,Non-stick,No,Instagram,Medium,Social,6099,Not Interested,No
Budget Buyer,41-50,Male,Arab,Sharjah,<5K,Occasional,Boutique,>15000,No,Not important,High,Price,Brand,40%+,Niche Brand,Ethnic Wear,Abaya,Neutral,NA,Yes,Friends,None,Price,2213,Very Interested,No
Budget Buyer,21-30,Male,Arab,Sharjah,<5K,Monthly,Mall,500-1500,No,Not important,Medium,Price,Design,40%+,Not Buy,Accessories,Abaya,Dark,NA,Maybe,Mall,High,Quality,500,Very Interested,No
Affluent Expat,51+,Male,Emirati,Sharjah,25K-50K,Monthly,Mall,1500-5000,No,Reward,Low,Quality,Design,10-20%,Luxury Brand,Home Decor,Abaya,Bold,Non-stick,Yes,Influencers,None,Social,4628,Not Interested,Yes
Budget Buyer,Under21,Female,Western,Sharjah,<5K,Occasional,Online,500-1500,No,Not important,Low,Status,Design,40%+,Niche Brand,Luxury Fashion,Fusion,Pastel,Cast Iron,Yes,Mall,None,Price,2024,Neutral,No
Luxury Emirati,21-30,Female,Emirati,Abu Dhabi,25K-50K,Rarely,Mixed,<500,Yes,Necessity,High,Social Media,Brand,No discount needed,Niche Brand,Kitchenware,Fusion,Neutral,Cast Iron,Yes,TikTok,Low,Social,27703,Very Interested,Yes
Value Expat,31-40,Female,Arab,Dubai,5K-10K,Rarely,Mixed,1500-5000,Yes,Occasional,High,Price,Brand,40%+,Not Buy,Accessories,Fusion,Bold,Designer,Yes,TikTok,Low,Social,7115,Very Interested,No
Affluent Expat,41-50,Male,Emirati,Dubai,10K-25K,Occasional,Online,>15000,Yes,Reward,High,Quality,Brand,10-20%,Wait Discount,Ethnic Wear,Abaya,Pastel,Designer,Yes,Mall,Medium,Social,6709,Interested,Yes
Luxury Emirati,41-50,Male,Other,Other,>50K,Occasional,Mixed,>15000,No,Necessity,Low,Price,Design,No discount needed,Luxury Brand,Kitchenware,NA,Neutral,Cast Iron,Yes,Friends,Medium,Trust,19659,Interested,Yes
Luxury Emirati,51+,Female,Emirati,Sharjah,>50K,Occasional,Boutique,<500,Yes,Necessity,Low,Design,Design,No discount needed,Wait Discount,Kitchenware,Saree,Bold,NA,Yes,Mall,Low,Trust,30416,Interested,Yes
Value Expat,31-40,Male,Emirati,Dubai,10K-25K,Rarely,Boutique,<500,Yes,Occasional,Low,Quality,Brand,40%+,Wait Discount,Luxury Fashion,Saree,Pastel,Steel,Maybe,Friends,Medium,Social,2262,Not Interested,No
Affluent Expat,21-30,Male,Western,Abu Dhabi,25K-50K,Monthly,Mixed,5000-15000,Yes,Reward,High,Design,Design,20-40%,Wait Discount,Luxury Fashion,Fusion,Dark,NA,Yes,YouTube,High,Social,8534,Neutral,Yes
Value Expat,51+,Male,Western,Other,10K-25K,Occasional,Mixed,1500-5000,No,Occasional,Medium,Quality,Brand,40%+,Wait Discount,Luxury Fashion,NA,Bold,Steel,Yes,Influencers,Low,Trust,6458,Neutral,Yes
Luxury Emirati,21-30,Female,Arab,Sharjah,25K-50K,Occasional,Mall,<500,No,Necessity,Low,Social Media,Brand,No discount needed,Niche Brand,Accessories,NA,Pastel,NA,Yes,Friends,High,Social,26936,Neutral,Yes
Affluent Expat,51+,Female,Arab,Dubai,25K-50K,Occasional,Online,1500-5000,No,Reward,Low,Social Media,Design,10-20%,Niche Brand,Luxury Fashion,Fusion,Bold,Designer,Maybe,YouTube,Medium,Quality,7397,Very Interested,No
Value Expat,Under21,Female,Western,Sharjah,10K-25K,Occasional,Boutique,5000-15000,No,Occasional,High,Design,Brand,40%+,Wait Discount,Ethnic Wear,Saree,Pastel,NA,Yes,Instagram,Low,Price,7941,Very Interested,No
Value Expat,51+,Male,Other,Abu Dhabi,10K-25K,Occasional,Boutique,500-1500,Yes,Occasional,High,Status,Brand,40%+,Luxury Brand,Luxury Fashion,Saree,Neutral,Non-stick,Maybe,Influencers,None,Social,2613,Interested,Yes
Affluent Expat,31-40,Female,Other,Dubai,25K-50K,Monthly,Mall,5000-15000,Yes,Reward,High,Price,Design,20-40%,Luxury Brand,Luxury Fashion,Fusion,Pastel,Cast Iron,No,Friends,Medium,Social,8565,Very Interested,No
Value Expat,41-50,Female,Emirati,Abu Dhabi,10K-25K,Rarely,Mall,>15000,Yes,Occasional,Medium,Social Media,Design,20-40%,Luxury Brand,Luxury Fashion,Saree,Neutral,Cast Iron,Yes,Influencers,High,None,1299,Very Interested,No
Budget Buyer,51+,Male,Emirati,Sharjah,<5K,Weekly,Boutique,>15000,No,Not important,Low,Social Media,Brand,40%+,Wait Discount,Accessories,NA,Bold,Designer,Maybe,TikTok,Low,None,2125,Neutral,No
Value Expat,31-40,Female,Emirati,Other,10K-25K,Occasional,Mall,5000-15000,Yes,Occasional,Low,Status,Design,20-40%,Luxury Brand,Ethnic Wear,NA,Dark,Steel,Yes,TikTok,Medium,None,4166,Interested,No
Affluent Expat,21-30,Male,South Asian,Other,25K-50K,Occasional,Boutique,1500-5000,No,Reward,Medium,Price,Brand,10-20%,Luxury Brand,Home Decor,Saree,Pastel,Non-stick,Maybe,Influencers,Medium,None,7807,Not Interested,No
Luxury Emirati,Under21,Female,Emirati,Other,25K-50K,Rarely,Boutique,5000-15000,Yes,Necessity,High,Status,Brand,No discount needed,Niche Brand,Luxury Fashion,Fusion,Neutral,Non-stick,Yes,Mall,None,None,20015,Interested,Yes
Budget Buyer,51+,Male,Other,Other,<5K,Monthly,Online,<500,No,Not important,Low,Quality,Brand,40%+,Not Buy,Accessories,NA,Neutral,NA,Maybe,Friends,Low,Quality,2378,Very Interested,No
Luxury Emirati,51+,Female,Other,Dubai,25K-50K,Rarely,Mixed,1500-5000,Yes,Necessity,Medium,Price,Brand,No discount needed,Not Buy,Accessories,Saree,Bold,Cast Iron,Maybe,Mall,Medium,Price,20530,Very Interested,Yes
